model,bookID,title,authors,
book.book,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr̩,
book.book,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPr̩,
book.book,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,
book.book,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPr̩,
book.book,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPr̩,
book.book,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,
book.book,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,
book.book,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,
book.book,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,
book.book,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,
book.book,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,
book.book,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,
book.book,21,A Short History of Nearly Everything,Bill Bryson,
book.book,22,Bill Bryson's African Diary,Bill Bryson,
book.book,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,
book.book,24,In a Sunburned Country,Bill Bryson,
book.book,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,
book.book,26,The Lost Continent: Travels in Small Town America,Bill Bryson,
book.book,27,Neither Here nor There: Travels in Europe,Bill Bryson,
book.book,28,Notes from a Small Island,Bill Bryson,
book.book,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,
book.book,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,
book.book,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,
book.book,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,
book.book,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,
book.book,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,
book.book,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,
book.book,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,
book.book,50,Hatchet (Brian's Saga  #1),Gary Paulsen,
book.book,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,
book.book,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,
book.book,54,Molly Hatchet - 5 of the Best,Molly Hatchet,
book.book,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,
book.book,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,
book.book,58,Changeling (Changeling  #1),Delia Sherman,
book.book,59,The Changeling Sea,Patricia A. McKillip,
book.book,61,The Changeling,Zilpha Keatley Snyder,
book.book,63,The Changeling,Kate Horsley,
book.book,66,The Changeling (Daughters of England  #15),Philippa Carr,
book.book,67,The Known World,Edward P. Jones,
book.book,68,The Known World,Edward P. Jones/Kevin R. Free,
book.book,69,The Known World,Edward P. Jones,
book.book,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,
book.book,72,Artesia: Adventures in the Known World,Mark Smylie,
book.book,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,
book.book,75,Uncommon Carriers,John McPhee,
book.book,76,Heirs of General Practice,John McPhee,
book.book,77,The Control of Nature,John McPhee,
book.book,78,Annals of the Former World,John McPhee,
book.book,79,Coming Into the Country,John McPhee,
book.book,80,La Place de la Concorde Suisse,John McPhee,
book.book,81,Giving Good Weight,John McPhee,
book.book,83,Rising from the Plains,John McPhee,
book.book,85,The Heidi Chronicles,Wendy Wasserstein,
book.book,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,
book.book,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,
book.book,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,
book.book,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,
book.book,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,
book.book,93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,
book.book,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,
book.book,96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,
book.book,98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,
book.book,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,
book.book,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,
book.book,103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,
book.book,105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,
book.book,106,Dune Messiah (Dune Chronicles #2),Frank Herbert,
book.book,107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,
book.book,109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,
book.book,110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,
book.book,117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,
book.book,119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,
